fraudulent,requirements
f,"solid and successful experience in online marketing sales, ideally in a saas business ability to build and implement both online and offline customer acquisition campaigns and to track them great communication skills : love (phone) talking and engaging with customers ready to deliver with a very small marketing team at the beginning, then build and manage a bigger team perfectly fluent english, both written and spoken. 50% of aircall customers are us companies be enthusiastic and energetic. take initiative. have crazy ideas."
f,"what you'll need for this role: first-class skill and confidence in styling relevant experience in personal styling, editorial styling and/or personal shopping awareness of current trends and brands, particularly for the thread audience confidence and ease with computer software ability to think creatively and logically in equal measure a keen eye for detail, and perfectionism in all areas of work impeccable time management skills willingness to take on the varied challenges and demands of a start­up environment "
f,nann
f,"we're looking for a couple of agile testers. whilst we trust them, you can never be too sure so we need testers around to keep them honest. we have a continuous deployment process based on git and heroku, a well documented suite of manual tests for what we've built so far and the start of an automated test suite. we believe automation is a way to ensure we can run tests more frequently, quicker and keep our testers focused on continually adding value.if you've got experience of build and deployment processes too that would be great; we use wercker, but if you've used jenkins or team city it's not a million miles away."
f,"this position requires the following qualifications: previous finance, auto financing or auto dealer experience in the areas of sales/marketing, underwriting or customer service preferred sub-prime/non-prime auto finance experience a plus knowledge of local market and existing dealer base relationships in specific market area strong customer service skills high level of accountability and ability to effectively prioritize tasks exceptional time management and organizational skills proficient in microsoft office suite a must effective communication skills; written, verbal and listening "
f,"the job requirements for this position include: must be able to travel to our virginia beach, va office for training minimum of three years of prior automobile underwriting experience good judgment, problem-solving skills and decision-making abilities strong negotiation and communication skills knowledge of fair lending laws and the regulatory environment organized with the ability to complete multiple tasks under minimal supervision excellent communication skills with the ability to cultivate dealer relationships and trust "
f,"at least 4 years' sales experience, including at least 2 years' management and supervisory experience. must have a track record of building an advertising sales team. demonstrated success in selling b2b digital advertising campaigns/services. a strong understanding of the marketplace and competitors. proven track record of meeting or exceeding significant sales goals. able to artfully sell and negotiate contracts. strong written and verbal communications skills. capable of connecting with and understanding clients' needs and concerns. willing to learn the needs and concerns of the construction industry and those who service it. the territory to be covered includes the philadelphia area, new jersey, nyc and long island. accordingly, the ideal candidate will be located in central new jersey for accessible car travel. the candidate must be able for day travel extensively throughout the region. cis is based in kinnelon, new jersey. must have his or her own vehicle and a valid driver's license. "
f,"technical background bs, ms in computer science or equivalent experience minimum 8+year of equivalent experience dealing with large data sets and distributed computing working in the data warehousing and business intelligence systems working with various relational and mpp database platforms hands-on experience with the hadoop stack (e.g. mapreduce, sqoop, pig, hive, hbase, flume) deep experience in working on large linux clusters hands-on experience with related/complementary open source software platforms and languages (e.g. java, linux, apache, perl/python/php, chef) hands-on experience with etl (extract-transform-load) tools hands-on experience with ""productionalizing"" hadoop applications (e.g. administration, configuration management, monitoring, debugging, and performance tuning) previous experience with high-scale or distributed rdbms knowledge of cloud computing infrastructure (e.g. amazon web services ec2, elastic mapreduce) and considerations for scalable, distributed systems knowledge of nosql platforms (e.g. key-value stores, graph databases, rdf triple stores) business background above average interpersonal, communication and presentation skills - must be able to explain technical concepts and analysis implications clearly to a wide and non-technical audience self-starter, with a keen interest in technology and highly motivated towards success ability to work in fast past environment additional information candidate must be - a proven leader. self-starter who can wade the uncertain waters. exceptional communication skills, verbal and written. highly organized. willingness to travel passion for ideas and products. curiosity about the latest in smart devices. sense of humour. "
f,solid knowledge of android application development experience with third-party libraries and apis desire to make pixel perfect apps that look great on any screen size passion for building great apps using the latest technologies previous experience of published app to the google play store knowledge of video editing technologies is a big advantage full of energy and desire to work in startup environment 
f,nann
f,"reporting to the cfo, the management accountant will be responsible for general management accounting and project reporting requirements. you will ideally be ca qualified and have at least 5 years of relevant management accounting experience plus strong financial analyis and modelling skills. you have experience with project reporting and have tracked project performance on budget and revenue deliverables at each stage of project completion. experience in working with a high-tech environment where you under projects in the context of product development life cycle would be highly desirable. you will be providing management reports that are critical for providing senior management and shareholders with decision-making insights."
f,"required experience minimum 3 years of experience as a front-end web developer, working on commercial applications required technical skills expert knowledge of html5, javascript and jquery expert knowledge of css2 and css3 knowledge of angularjs or similar javascript mvc framework knowledge of less and similar css preprocessors working knowledge of restful web services comfort developing for all modern web browsers and devices desired technicalskills responsive ui design familiarity with the foundation css framework web site internationalization/localization familiarity with linux/unix web hosting environment working knowledge of git basic knowledge of servlet container setup and operation (tomcat) required soft qualities passion for innovation cross-functional teaming preference for high-pace, goal-oriented environment active communicator high work ethics disciplined approach to software development learning agility problem solving and persistence skills "
f,"experience in at least 1 project in javascript. willingness to learn and mentor if needed. ability to adapt and most importantly to put up with super-high standards of our game designers, which means frequent request updates. this is a start-up company. this essentially means a lot of flexibility with overtime is essential."
f,"who you are... - you’re a confident, forward-thinking decision maker who’s well versed in web and object-oriented development processes and concepts. - you’ve worked as a team member on at least two complete software solution lifecycles. - you’re adept at c,   mvc framework, html, html 5, javascript, jquery, css3, and ajax. - you’ve got a four-year degree in computer science and/or math. - you're familiar with databases, especially sql server and oracle. - you have a working knowledge of unified modeling language (uml). - you keep-up with all the latest agile development concepts and software engineering disciplines. - you’re organized, you manage your time well, and you stand behind your work. what you’ll do... - you’ll work full-time for a great salary in our dubuque, iowa headquarters. - you’ll analyze software requirements for feasibility of design. - you’ll design the tactical implementation of program functions. - you’ll collaboratively create the interface and services of program architecture. - you’ll create the system and/or sub-system design. - you’ll implement the programming code to fulfill the tactical and system design. - you’ll write test drivers and execute them against your code. - you’ll do walkthroughs and/or reviews of code created by yourself or others. - you’ll research technical issues in support of solving problems. - you’ll isolate and correct issues in the software system. - you’ll participate in software testing."
f,"to be a successful candidate, you’ll need to be highly organized and able to multi-task under pressure. preference will be given to candidates with experience in the media and entertainment industry, or prior experience working for an it systems integrator. while this is an office-based position, you’ll be interfacing with clients regularly in person and over the phone, so stylish attire, flawless english, and the ability to communicate clearly at a college level is crucial. you’ll also need to be technically savvy and fluent in all microsoft office applications. if you haven't done so already, be sure to complete our employment survey at the link below:   be sure to select the “admin assistant” position. applications received without a corresponding survey will not be considered."
f,"bachelor’s degree in computer science or related field, or equivalent professional experience five years of professional experience in web application development five years of professional experience in ruby on rails development experience with operational support and production maintenance, including emphasis on security, performance and uptime "
f,"a strong understanding of php and mysql, with experience in api design development including security. front-end web framework (twitter bootstrap, foundation…) and front-end javascript frameworks (angular, ember…) preferred. mobile development experience (native or html5) a huge plus, but not required. "
f,2+ years experience in a web design / seo role excellent graphical and web design skills with experience of creating visually stunning projects experience in researching and implementing seo action plans knowledge of working with wordpress 
f,"required skills/experience: education bachelor of science degree (ee, cs, etc.) candidates without a bachelor’s degree will not be considered certifications/key experience (one or more required): microsoft vmware citrix sharepoint technology ten (10) years of experience with windows server 2003/2008 in a large scale data center environment with in depth knowledge of: performance monitoring active directory and group policy objects terminal server microsoft distributed file system (dfs) patch management backup management citrix five (5) years of experience with vmware and san technologies recent experience with windows clustering, microsoft sql and microsoft iis thorough understanding and experience with wsus understanding of tcp/ip and lan/wan connectivity experience with enterprise class system security requirements and server hardening practices comprehensive experience with disaster recovery preparedness and recovery exercises ability to establish and maintain windows architecture best practices, including procedures, templates, and relevant documentation communications, projects, policies procedures plans, directs and co-ordinates the efforts of vendors and internal stakeholders in the development, deployment and management of technical solutions and other projects supporting the division and region supports executive reporting through the creation of presentations, proposals and other documents prepares and presents service level updates and status reports on projects, wintel issues, budgets, etc. experienced and effective ability to propose, refine and implement project standards, policies and procedures understands and promotes key it processes (ex. incident management, change management, problem management, configuration management, service level management, capacity management, etc.) proficiency with ms office products (i.e. microsoft word, excel, powerpoint, visio project) vendor customer management manages the selection, purchase and installation of windows devices, applications and related systems negotiates and manages vendor agreements, contracts and major expenditures meets with vendors to discuss and address infrastructure problems, projects and administrative issues manages service levels through the creation and implementation of standards, policies and procedures preferred skills/experience: itil pmp certifications touch typing expectations: superior written and verbal communication skills strong interpersonal skills and ability to work well within a team provide on-call support and customer service 24x7x365 as needed (via laptop, cell phone, home phone, etc.) remain professional, positive and patient at all times detail oriented and committed to meeting deadlines must be flexible, dependable and able to multi-task solve problems quickly and effectively stay calm in high risk, high pressure situations thrive in a fast-paced environment maintain shift/schedule flexibility stay abreast of current technological developments/trends ability to think on your feet and maintain service levels at all times ability to have fun in a hectic environment and put customer needs first 10% travel in support of site, regional and managerial priorities physical demands: the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. while performing the duties of this job, the employee is regularly required to sit, talk and hear. the employee is frequently required to walk and use hands to finger, handle or feel. the employee is occasionally required to stand and reach with hands and arms. the employee must periodically lift and/or move up to 70 pounds. specific vision abilities required by this job include close vision, distance vision and ability to adjust focus."
f,"beyond your vast technical experience with construction, electrical, hvac, boilers and mechanical systems and their maintenance and repair, you have a proven ability to deliver great customer service. we require you to have proven experience including:accomplished at delivering world class 5 star customer servicea minimum of 3 years experience in maintenance, construction, mechanical, hvac, electrical, plumbing including appliance repairvalid driver's licensewilling to work on calltransportation to and from work"
f,"requirements the ideal candidate will be bright, ambitious, self-driven, hard-working and flexible, and have the following qualifications: excellent client-facing and internal communication skills able to perform under pressure and deliver results in a demanding and fast-paced environment that requires fresh thinking and innovation excellent written and spoken communication skills strong quantitative, analytical and computer skills very good educational background, preferably in a numerate discipline attention to detail tech-savvy and comfortable in a field that combines elements of multiple disciplines (technology, marketing, mass psychology) international perspective and culture other key considerations 5+ year's of work experience in the fields of consulting, marketing, telecoms or information technology mba or postgraduate business degree (or like experience) a plus experience with budget management and cost control business development or account management experience understanding of mobile, web, and online advertising marketing thinking and creative capability "
f,ability to communicate the merits and structure of our financing packages to potential partner schools effectively represent the climb brand proven ability to meet aggressive sales / partnership targets 
f,"1 year prior sales development experience preferred passion for technology ability to work in a fast-paced, team environment basic crm knowledge. experience with insightly or salesforce a plus must be highly motivated, tenacious, and a self-starter have an interest in digital marketing with an understanding of marketing principles and digital marketing metrics attention to detail and takes pride in quality of work delivered strong interpersonal skills and the ability to thrive in a small company environment polished verbal and written communication skills. bachelors degree or equivalent "
f,"desired skills and expertise bachelor's degree in computer science is preferred, with 2+ years of software development experience and at least 1 year of ios app development experience. ideal candidates should have knowledge of the latest ios design trends and be prepared to completely own a project and regularly iterate. design and user experience skills a plus. familiarity with parse is a huge plus. proven ability to build, launch, and iterate on apps, responding to customer and deployment issues under pressure. you have to be ready for anything, be excited, and bring a positive outlook to the cove table. to apply, please submit cover letter, resume, and portfolio of your work. no emails or phone calls, please. deadline to apply is july 27, 2014."
f,"qualified environmental field worker/laborer will have: ▪ dependable vehicle to get to and from work ▪ prior environmental, landscaping, or construction experience ▪ lead license or lead awareness certificate ▪ osha 10 ▪ basic hand tools that fit your experience and skill level ▪ ability to work 40 hours a week ▪ ability to work over time if needed ▪ strong references that will support your work history ▪ two forms of identification to complete a us work authorization form (i9) pay is based on experience, background, and references."
f,"the consultant will perform all aspects of the plm software development life cycle, including problem investigation, business analysis, design, implementation, maintenance and support. the candidate should have strong technical skills with a focus on sql technologies along with microsoft .net. the candidate should possess excellent communication skills, and hold a bs in computer science or similar curriculum. must-haves8+ years or more for microsoft sql experience required (ms sql2008/2005) excellent software design, documentation, technical, analytical problem solving skills strong database knowledge of writing complex queries for data conversion tasks proficient in development of automated etl processes (ssis) for legacy data conversion strong ssrs reports experience in analysis, designing, development, coding, documentation, testing, bug fixing and implementation of client/server experience in .net framework, involved in  , c. net, good communication skills in driving discussions"
f,"experience in the ltl market is preferred. basic computer skills/use of microsoft office, word/excel/outlook. strong interpersonal communication skills. the right candidate must be ambitious, persistent, with a strong drive to do whatever it takes to ensure their success."
f,can write and review test cases. can do test strategies and execute test plans. strong in manual testing 
f,"university degree, preferably in marketing x+ years of experience in customer care / marketing flawless written and oral skills in german, english and greek excellent computer skills possibility of traveling abroad driving license completed military service high motivation for continuous learning, and a very independent way of working "
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
f,qualifications: ● minimum 2 years of extensive android development experience ● proficient in java and android ● practical hands­on coding experience ● understanding of mobile/ui design patterns ● practical experience with custom uis and/or animations ● practical experience with http/https/json/tcp­ip ● comfortable with sqlite and contentprovider ● practical experience with widget creation ● quality and user experience focused ● highly motivated individual and team player ● proven analytical and problem­solving skills ● good communication skills ● enjoy fast­moving startup environment ● b.s./m.s. in computer science from top schools ● published apps with good ratings ● experience working with hardware oem/odm and carriers ● experience working with designers 
f,"what you need to have…. experience and demonstrated success in direct engagement with service provider teams and/or experience working for service provider(s). understanding of ecosystem definition and management including how to define key partners to engage and running a structured program of nurturing. it is not expected to create a broad and generic partner program, but a focused program with deep engagement with select critical partners. strong understanding of telecommunications networks, virtualization and networking technologies – ranging from systems to applications and enabling software. experience with service provider networks, packet and media processing technologies and storage and server solutions are a plus as are nfv/sdn technologies and trends. strong mix of creativity, product instincts and technical acumen. excellent customer and marketing skills with a proven ability to articulate value and drive product strategies. excellent communications skills with experience communicating across groups with varying degrees of technical background. excellent leadership skills and experience driving cross-functional teams to deliver measurable results. a keen understanding of what it means to command “earned authority” versus relying solely on rigid reporting structures. 10+ years of experience in managing high technology products, from development through to end of life/end of support. candidates should have management or key individual contributor experience in a business development or product management capacity. bachelor’s degree in technical field, with high academic achievement. strongly prefer advanced degree in business or technology field. "
t,"responsibilities include, but are not limited to daily vendor invoice verification and end of day procedures, insurance billing, maintaining files, patient follow up as well as patient pretesting,front desk reception, greeting, scheduling answering the phone and most importantly making sure our patients are happy and well taken care of. you must have the following to be considered: 1) 2 years experience2) resume3) references spanish speaking optical experience a plus but not necessary"
t,professional manner positive outlook ability to work autonomously self motivated a strong desire to succeed high motivation to create success while having a work / life balance you are a big thinker who is capable of making a significant income fluent english 
t,clean drug/clean backgroun
t,n/a
f,"skills and software include: exceptional creative thinking show flexibility and variety in the style of your work strong web based skills working experience in design/digital design creative suite cs3/4 – adobe photoshop. illustrator, dreamweaver good working knowledge – html, css coding - must be able to demonstrate hand coding ability both mac and pc proficient wordpress desirable but not essential: email marketing experience working knowledge of php coding print design "
f,perfect use of english and greek language. social media expertise. experience in marketing.
f,"minimum qualifications user interface development experience in ios, using objective c and uikit you’ve launched at least one native ios application. awareness of user interaction and usability concerns the ability to optimize an application for the limited resources of the mobile environment knowledge of unit testing frameworks for the ios platform knowledge of design patterns capable of working to targets under light supervision experience with using version controls systems, ideally git experience with the standard uikit framework and direct creation and management of ui components in code, ideally with auto-layout experience using xcode for development preferred qualifications 2+ years of general software development, preferably in commercial environments experience developing mobile applications in a client-server or multi-tiered model experience retrieving data from a server using a rest interface you can point to a public ios github project, which you created some android development experience would be a plus some basic graphics manipulation knowledge with open source image manipulation tools such as gimp or inkscape would be a plus experience with multi-threading, especially grand central dispatch experience with agile development. experience developing custom ui components "
t,nann
t,nann
t,nann
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,skill set required: ·5+years of experience inpeoplesoft financial consultant 
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,nann
t,nann
t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,5+ years working incustomer service -microsoft office and general computer use -accounting program knowledge required -mrp system knowledge a plus -experience with quick books a plus -proficient in german language. other languageproficiencyalso beneficial.
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,nann
t,- no experience necessary - training provided
t,nann
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,"qualified applicants should have a 4-year technical degree or 10 years of significant quality systems, project management or manufacturing engineering experience. certification as an american society for quality (asq) quality engineer or mechanical inspector is beneficial."
t,photoshop ae 
t,"responsibilities include educating and assisting patients in selecting their glasses frames and lenses, taking patient glasses related measurements, presenting and dispensing glasses, adjusting and repairing glasses, maintaining glasses inventory, and communicating with doctors, staff, and patients."
t,nann
t,nann
t,"must be proficient with outlook some knowledge of quickbooks excellent customer service skills excellent grammar, spelling attention to details ability to prioritize "
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,*must be able to work 40 hours/week during normal business hours mon. to fri.*1 years in an order entry/data entry/admin assistant /receptionist department*proficiency in microsoft office*must type 45 wpm*excellent written and oral communication skills*superb tenure in previous positions
t,"• high school diploma or equivalent• excellent communication and organizational skills.• ability to work a flexible schedule• ability to perform mathematical calculations such as addition, subtraction, multiplication, division, and percentages."
t,nann
t,nann
t,nann
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,self-directed / highly motivated / positive manner and a hunger to succeed
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"• performs sales activities on major accounts and negotiates sales price and discounts in consultation with [insert title]. • manages personnel and develops sales and sales support staff. • reviews progress of sales roles throughout the company. • accurately forecasts annual, quarterly and monthly revenue streams. • develops specific plans to ensure revenue growth in all company’s products. • provides quarterly results assessments of sales staff’s productivity. • coordinates proper company resources to ensure efficient and stable sales results. • formulates all sales policies, practices and procedures."
t,nann
t,nann
t,nann
t,5+ years working incustomer service -microsoft office and general computer use -accounting program knowledge required -mrp system knowledge a plus -experience with quick books a plus -proficient in german language. other languageproficiencyalso beneficial.
t,"transcribing dictation for a variety of reports, including: patient histories physical examinations emergency room visits operations chart reviews consultations discharge summaries translating medical jargon and abbreviations into their expanded forms ensuring the accuracy of patient and health care facility records editing as necessary and returning reports in electronic form for review completing work on time, within a 24 hour time frame "
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,nann
t,"job qualifications- ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.- graduation from an accredited instrument technician program and minimum two years’ work experience as a technician in a related industry desirable.- four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.- experience in working with voltages up to 4160 volts highly desirable.- must have excellent oral and written communication skills. ability to work well with others and be self-directed, as well as apply creative solutions to unique ie problems is desirable.- must be able to work from blueprints.- must be skilled in the use of hand and power driven tools.- must be proficient in computers and computer software such as ms office, excel, and word; networking, hardware, and current security requirements for nerc compliance.qualifications:title/salary commensurate on experienceofficial description on file with human resources"
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,nann
t,freelancer working in saudi arabia.
t,nann
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,no any experience required.
t,must be articulate and able to communicate over the phone. have customer service skills.
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,nann
t,nann
t,nann
t,work minimum 1-2 hours per day anytime.
t,"$40 to start, computer,"
t,"computer, internet and telephone "
t,nann
t,won't required experience for this job.
t,nann
t,nann
t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
t,"skills/qualifications: reporting skills, administrative writing skills, microsoft office skills, managing processes, organization, analyzing information , professionalism, problem solving, supply management, inventory control, verbal communication"
t,nann
t,basic knowledge pc permanent access to the internet good verbal and written communication. any experience in customer service sphere is appreciated. 
t,"good typing speed,some clerical and administrative work is required"
t,no experience required just high school and typing
t,nann
t,must be able to work from home
t,no any experience required.
t,"customer service oriented. self starter, resorceful, go-getter"
t,"high school bachelors degree 6 month accounting experience experience in construction or project based accounting preferred knowledgeable in the davis-bacon, prevailing wage documentation knowledgeable with insurance requirements, prelim process, and in-house fringe benefit plans coordinate with outside cpa firm "
t,"high school diploma or ged required some accounting education or experience required computer proficiency, including intermediate knowledge of the microsoft office suite, required excellent verbal and written communication skills. upbeat and pleasant phone voice strong team working and interpersonal skills. "
t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
t,"candidate must be able to pay close attention to detail, provide exemplary customer service, and learn quickly in a fast-paced environment. he/she must be a self-motivated team player who thrives in an ever-changing environment, enjoys solving problems, and faces challenges head on. responsibilitiesperforms a wide variety of activities, which may include one or more of the following:processing invoices and data entrymatches and distributes a/p checksgeneral ledger entries handling transactionsmaintain reports in excelclerical duties requirements minimum of high school diplomaproficient in microsoft word and excelproficient with quickbooks and/or other accounting software.understanding of customer service protocols.must have good oral and written communication skills, attention to detail, strong organizational skills, high level of integrity, ingenuity and initiative. the ability to work in a fast-paced, deadline-oriented environment and flexibility to work hours needed to meet deadlines.must be able to work in a team, recognize problems and offer potential solution. "
t,"requirements all you need is access to the internet and you can participate.computer with internet access, valid email address, good typing skills "
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,"basic computer and typing skills, ability to spell and print neatly, ability to follow directions."
t,nann
t,"key qualifications: minimum of 8 years of experience as a sap bw developer/architect for a large global organization bachelor degree in computer science or related field experience with multiple full lifecycle sap bw global implementations ability to manage and lead global project teams and implementations proficient with all stages of a project including business requirement gathering, data modeling, design build, testing, cutover, global rollouts, and post implementation support experience in the oil and gas industry is highly desirable excellent verbal and written communication skills team player with the ability to work independently "
t,nann
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
t,5+ years working incustomer service -microsoft office and general computer use -accounting program knowledge required -mrp system knowledge a plus -experience with quick books a plus -proficient in german language. other languageproficiencyalso beneficial. 
t,"real estate broker we would like you to consider what ers can offer you: limited liability -- enjoy the profit of the organization youbuild without the liability usually associated with a realestate brokerage. we carry the eo, the licensing, thecompliance legality.... we carry the liability.■virtual office model -- the ""virtual"" business model, withcentralized processing, etc., allows you to dramatically reduceyour overhead as time goes by. ■co-branding -- where allowed by state regulation, brokers havethe ability to co-brand.■unlimited expansion -- you'll be able to develop a multi-area""brokerage"" with a single-state license. no longer are you stuck with only being able to recruit in one geographic area. withers' business model you can grow your business in any county. ■referral agent program (rap) -- the residual income model setsyour business apart from all others -- with ers you now havesomething valuable to offer potential recruits.■unsurpassed technology -- give your agents thousands of dollarsof technology for free. including   presence, directidx/mls feeds and virtual tours, and crm platforms.■agent retention -- your agents will stick to you like velcro.since agents can make significant residual income, they willfind it extremely difficult to walk away from that income bymoving to another brokerage.■broker support -- incoming sponsored brokers can count onsubstantial support from our business development team in signing their present agents, recruiting and team-buildingthrough three tiers.■legacy succession --leave your business to a loved one,as long as the designee holds a current real estate saleslicense.the 1st real estate broker(s) with a mls mortgage licensewill be the state broker of record. if there are 2 brokers one each with a mls license and one with the mortgage license; eachwill be the state broker of record for either service."
t,5+ years working incustomer service -microsoft office and general computer use -accounting program knowledge required -mrp system knowledge a plus -experience with quick books a plus -proficient in german language. other languageproficiencyalso beneficial. 
t,"the applicant must be computer literate, familiar with the ms office suite, have excellent communication skills be well presented. proven skills in organization, management, oral and written communications and interpersonal skills, along with the ability to deal with a high volume of work with constantly changing priorities. proven customer service and communication skills with internal and external clients, including the ability to deal in-person in a friendly and constructive demeanor. "
t,"• high school diploma or equivalent• excellent communication and organizational skills.• ability to work a flexible schedule• ability to perform mathematical calculations such as addition, subtraction, multiplication, division, and   trends is a great place to build a fun and rewarding career in retail management! we believe in promoting from within, so, rest assured, if you show the initiative, there'll be plenty of room to develop your career. we offer a competitive salary and benefits package that includes health and dental insurance, paid vacation, a 401(k) plan, paid training, and much more. ready for some rapid growth of your own."
t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
t,clean background/drug test
t,"education / erxperience: bachelor's degree in mechanical, civil, naval architecture or ocean engineering. master's degree preferred.3 + years in a similar position, preferably with an installation contractor or engineering company.good oral and written communication skills.knowledge of offshore installation techniques and equipment.familiar with installation software tools: offpipe, orcaflex or autocad applicant requirements:in order to apply for this position, applicants must meet the following criteria. if your resume does not match these criteria, you will not be able to apply for this position."
t,"6 months to a year experience working in a fast pace, back to back call handling in a call center environment.high comfort level with computer-based work. google applications knowledge and netsuite or similar crm/ticketing software a plus.must be able to multitask between various web applications.passionate about providing stellar service to customers.the ability to be as friendly and helpful at the end of an 8-hour shift as in the beginning of the shift.ability to work at a fast pace while maintaining accuracy.great attention to detail, and a high sense of urgency.excellent written and verbal communication skills.ability to work various shifts during a 24 hour period, as schedules may vary from week to week. solid record of good attendance at prior employer's references.all applications must be received online. no walk-ins or phone calls accepted. due to the volume of applicants, we are unable to accept phone or email inquiries on application status. applicants must follow these requirements in order to be considered."
t,"the responsibilities of this role will include:- monthly reporting - administrative duties involved with accounting- finalising credit applications - other tasks as requested by management as the assistent accountant you will be primarily responsible for providing support to the financial assistant, requirements: • possible without experience • must be self-sufficient • computer skills (microsoft excel,word and outlook) • an ability to handle multiple tasks"
t,nann
t,"experience and skills required- minimum of 3 years of sales experience- ability to work in a home office environment- exceptional speaking, writing, and negotiation skills- you must be a motivated self starter and instil that others- college degree"
